iso3,occupation,employment,w_within_emp
AGO,1112,15.56976923076923,4.994105851199506e-4
AGO,1120,15.56976923076923,4.994105851199506e-4
AGO,1211,15.56976923076923,4.994105851199506e-4
AGO,1212,15.56976923076923,4.994105851199506e-4
AGO,1213,15.56976923076923,4.994105851199506e-4
AGO,1219,15.56976923076923,4.994105851199506e-4
AGO,1221,15.56976923076923,4.994105851199506e-4
AGO,1222,15.56976923076923,4.994105851199506e-4
AGO,1223,15.56976923076923,4.994105851199506e-4
AGO,1311,15.56976923076923,4.994105851199506e-4
AGO,1312,15.56976923076923,4.994105851199506e-4
AGO,1321,15.56976923076923,4.994105851199506e-4
AGO,1322,15.56976923076923,4.994105851199506e-4
AGO,1323,15.56976923076923,4.994105851199506e-4
AGO,1324,15.56976923076923,4.994105851199506e-4
AGO,1330,15.56976923076923,4.994105851199506e-4
AGO,1342,15.56976923076923,4.994105851199506e-4
AGO,1343,15.56976923076923,4.994105851199506e-4
AGO,1344,15.56976923076923,4.994105851199506e-4
AGO,1345,15.56976923076923,4.994105851199506e-4
AGO,1346,15.56976923076923,4.994105851199506e-4
AGO,1349,15.56976923076923,4.994105851199506e-4
AGO,1411,15.56976923076923,4.994105851199506e-4
AGO,1412,15.56976923076923,4.994105851199506e-4
AGO,1420,15.56976923076923,4.994105851199506e-4
AGO,1431,15.56976923076923,4.994105851199506e-4
AGO,2111,19.254075949367092,6.175871455316567e-4
AGO,2112,19.254075949367092,6.175871455316567e-4
AGO,2113,19.254075949367092,6.175871455316567e-4
AGO,2114,19.254075949367092,6.175871455316567e-4
AGO,2120,19.254075949367092,6.175871455316567e-4
AGO,2131,19.254075949367092,6.175871455316567e-4
AGO,2133,19.254075949367092,6.175871455316567e-4
AGO,2141,19.254075949367092,6.175871455316567e-4
AGO,2142,19.254075949367092,6.175871455316567e-4
AGO,2143,19.254075949367092,6.175871455316567e-4
AGO,2144,19.254075949367092,6.175871455316567e-4
AGO,2145,19.254075949367092,6.175871455316567e-4
AGO,2146,19.254075949367092,6.175871455316567e-4
AGO,2149,19.254075949367092,6.175871455316567e-4
AGO,2151,19.254075949367092,6.175871455316567e-4
AGO,2152,19.254075949367092,6.175871455316567e-4
AGO,2153,19.254075949367092,6.175871455316567e-4
AGO,2161,19.254075949367092,6.175871455316567e-4
AGO,2163,19.254075949367092,6.175871455316567e-4
AGO,2164,19.254075949367092,6.175871455316567e-4
AGO,2165,19.254075949367092,6.175871455316567e-4
